Id,Start,Name,Impact,Currency
c1fa1bff-2a6b-459b-9e77-59fcdea7cddd,01/14/2019 10:00:00,Industrial Production s.a. (MoM),MEDIUM,EUR
7fa5450c-6110-4dce-b433-204c4917077b,01/15/2019 13:30:00,Producer Price Index ex Food & Energy (YoY),MEDIUM,USD
34541b8d-f9fc-4758-9354-997a0ea92acc,01/15/2019 15:00:00,ECB's President Draghi speech,HIGH,EUR
b559b57f-2a5c-4ef4-b7c0-0a66aaba5b15,01/16/2019 16:30:00,Fed's Kashkari speech,MEDIUM,USD
52022944-8484-450d-b63d-2dff51e68380,01/16/2019 19:00:00,Fed's Beige Book,MEDIUM,USD
20ee10f7-b041-473c-a658-2e2752641f1b,01/17/2019 00:00:00,G20 Meeting,MEDIUM,EUR
4fa6f134-1752-4d7a-b5de-57c279cae6c1,01/17/2019 10:00:00,Core Harmonized Index of Consumer Prices (MoM),MEDIUM,EUR
14769d9f-57ae-4dc9-960f-709c7e2701e4,01/17/2019 10:00:00,Core Harmonized Index of Consumer Prices (YoY),HIGH,EUR
66ce1cf8-cfa5-430a-8167-237d6fb40154,01/17/2019 10:00:00,Harmonized Index of Consumer Prices (MoM),MEDIUM,EUR
a95209cc-3b00-4fda-bee1-bdb53fb05fff,01/17/2019 10:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
03e7fa77-c0bf-4dcf-9bbb-85bcc935c32f,01/17/2019 13:30:00,Initial Jobless Claims,MEDIUM,USD
40dfadf3-e1d0-4b4c-8f21-9b656b1bb977,01/17/2019 13:30:00,Initial Jobless Claims 4-week average,MEDIUM,USD
5e757cb9-8faa-46ed-a126-fac4a99af5e9,01/17/2019 13:30:00,Philadelphia Fed Manufacturing Survey,MEDIUM,USD
f02ebe49-da23-4d68-8cef-69557d2719a0,01/17/2019 15:45:00,Fed's Quarles speech,MEDIUM,USD
97555b47-642f-451a-86f2-e82205e5684b,01/18/2019 00:00:00,G20 Meeting,MEDIUM,EUR
2d4f36af-9d59-4d86-801c-45b1575e22c2,01/18/2019 14:05:00,Fed's Williams speech,MEDIUM,USD
b23e7e10-6b97-4896-b273-03abe022a7b7,01/18/2019 14:15:00,Capacity Utilization,MEDIUM,USD
d774f3e9-9417-49f1-8242-9e3280f53cb7,01/18/2019 14:15:00,Industrial Production (MoM),MEDIUM,USD
6c19a700-07f8-418b-a591-0aaa82a87690,01/18/2019 15:00:00,Michigan Consumer Sentiment Index,MEDIUM,USD
3050ff27-b5c0-40a9-b447-63d8f4849349,01/18/2019 18:00:00,Baker Hughes US Oil Rig Count,MEDIUM,USD
c39586d5-03b0-4342-bfbc-dddc4ccb7dc6,01/22/2019 15:00:00,Existing Home Sales (MoM),MEDIUM,USD
b3499dae-1175-434c-9d42-d4046045cef6,01/23/2019 14:00:00,Housing Price Index (MoM),MEDIUM,USD
0e1c54a9-69dd-4371-a38c-9d5903006b15,01/24/2019 09:00:00,HCOB Composite PMI,MEDIUM,EUR
a87fd4e2-6bef-44f5-a0f5-e312f3d5ec8c,01/24/2019 09:00:00,HCOB Manufacturing PMI,MEDIUM,EUR
fed8a7bb-b5b2-4d53-a0d2-bb81ce059d52,01/24/2019 09:00:00,HCOB Services PMI,MEDIUM,EUR
8953d725-9934-4a6f-9f8e-5dc8ae4fb1f7,01/24/2019 12:45:00,ECB Main Refinancing Operations Rate,HIGH,EUR
e5cd0396-4942-4975-9f7e-9dd49144acbe,01/24/2019 12:45:00,ECB Rate On Deposit Facility,HIGH,EUR
84811ec3-bcfc-4cef-9076-66dc76fa8994,01/24/2019 13:30:00,ECB Press Conference,HIGH,EUR
0248de35-26af-429e-8b3f-2adea3a3a5a8,01/24/2019 13:30:00,Initial Jobless Claims,MEDIUM,USD
ac7e6b38-c6e0-468f-a34d-797b171a05d1,01/24/2019 13:30:00,Initial Jobless Claims 4-week average,MEDIUM,USD
83e3addd-3b94-44d4-bfd9-e33a0cd9e4de,01/24/2019 14:45:00,S&P Global Composite PMI,MEDIUM,USD
44831506-a3a9-4ac7-a1dc-ef7c8a1028f0,01/24/2019 14:45:00,S&P Global Manufacturing PMI,MEDIUM,USD
c49adb84-b1fb-47e9-976c-04ce120c83b5,01/24/2019 14:45:00,S&P Global Services PMI,MEDIUM,USD
75376c43-bdeb-4f88-87ca-900306206c91,01/24/2019 17:00:00,Senate votes on Government Shutdown,MEDIUM,USD
b6236789-e87b-4170-b0b9-ff71d23b47fd,01/25/2019 18:00:00,Baker Hughes US Oil Rig Count,MEDIUM,USD
